Organization Name,Legacy_Account_ID,Contact ID,ACT_LegacyID,MembershipWorks_ID,Contact Name,Address,City,State,Postal Code,Country,Email Address,Phone,Website,Self-Study Enrollment Date,Self-Study Expires,Award Date,Award Expiration,County,Licensed Capacity,Number of Classrooms,Number of Staff,Days of Operation,Hours of Operation,Accredited Program,Affiliate Membership,accredited_program,Join Date
College Hill COGIC Preschool,,,,5dfaa4f5e79c695b3b30de9e,Deloris Davis / Toni Boyd,1002 E. MLK Jr. Blvd.,Tampa,FL,33603,US,cogicpreschool@gmail.com,813-231-8562,,3/2/2015,3/2/2017,12/4/2017,12/4/2021,Hillsborough,104,5,13,M-F,6:30 - 6:00,Accredited Program,,accredited_program,3-Mar-15
Wee Know School,,,,5dfaa4f5e79c695b3b30de9f,Denise Delie and Mary Lloyd Lynn-Murphy,3325 Hwy. 83,Hartland,WI,53029,US,weeknowoffice@gmail.com,262-367-0200,www.weeknowschool.com,1/9/2018,1/9/2020,8/1/2019,8/1/2023,Waukesha,135,7,26,M-F,6:00 - 6:00,Accredited Program,,accredited_program,8-Nov-10
Miss Adele's Learning Center,,,,5dfaa4f5e79c695b3b30dea0,Devera Losson,1804 Richmond Road,Lakeland,FL,33803,US,deveralosson@aol.com,863-682-3531,www.missadeles.com/Miss_Adeles_Learning_Center.html,8/31/2016,8/31/2018,5/10/2018,5/10/2022,Polk,79,5,10,M-F,7:00-6:00,Accredited Program,,accredited_program,14-Feb-03
KinderCare Learning Center #300518,,,,5dfaa4f5e79c695b3b30dea1,Diaa Elaridi,3106 N. Duke St.,Durham,NC,27704,US,300518@kindercare.com,919-471-1150,www.kindercare.com,4/7/2017,4/7/2019,7/10/2019,7/10/2023,Durham,136,5,20,M-F,6:30-6:30,Accredited Program,,accredited_program,5-Jan-11
Amazing Kids Academy,,,,5dfaa4f5e79c695b3b30dea2,Diana Diaz,2211 E. Orange Ave.,Eustis,FL,32726,US,harrycdiaz@gmail.com,352-357-3833,,12/5/2016,12/5/2018,3/20/2019,3/20/2023,Lake,119,5,12,M-F,6:00 - 6:00,Accredited Program,,accredited_program,24-Jan-06
"Little Me Preschool, Inc.",,,,5dfaa4f5e79c695b3b30dea3,Diana Portal,17300 Pines Blvd.,Pembroke Pines,FL,33029,US,litlme96@aol.com,954-433-5269,www.littlemepreschool.com,4/30/2019,4/30/2021,5/11/2017,5/11/2021,Broward,178,12,45,M-F,6:30 - 6:30,Accredited Program,,accredited_program,20-May-10
E.L. Cord Child Care Center,,,,5dfaa4f5e79c695b3b30dea4,Diane Nicolet,Truckee Meadows Community College,Reno,NV,89512,US,dnicolet@tmcc.edu,775-674-7515,www.tmcc.edu/childcare,11/14/2017,11/14/2019,8/7/2019,8/7/2023,Washoe,100,3,25,M-F,7:00 - 6:00,Accredited Program,,accredited_program,21-Aug-08
KinderCare Learning Center #301315,,,,5dfaa4f5e79c695b3b30dea5,Diane Uria,4801 SW 140th Ave.,Miami,FL,33175,US,301315@klcorp.com,305-220-8430,www.kindercare.com/,1/25/2017,1/25/2019,12/27/2018,12/27/2022,Miami-Dade,133,9,13,M-F,6:30 - 6:30,Accredited Program,,accredited_program,1-Nov-04
Prince of Peace Community Early Learning Center,,,,5dfaa4f5e79c695b3b30dea6,Diane Williams,802 E. Douglas St.,Saint Joseph,IL,61873,US,popcelcdirector@comcast.net,217-469-9200,www.popstjoe.com/elc,11/6/2018,11/6/2020,11/2/2016,11/2/2020,Champaign,151,10,23,M-F,6:30 - 6:00,Accredited Program,,accredited_program,3-Jan-13
KinderCare Learning Center #301586,,,,5dfaa4f5e79c695b3b30dea7,Dina Altschuler,20650 95th Ave. South,Boca Raton,FL,33434,US,301586@klcorp.com,561-488-3481,www.kindercare.com/,5/21/2018,5/21/2020,5/31/2016,5/31/2020,Palm Beach,184,11,19,M-F,6:30 - 6:00,Accredited Program,,accredited_program,31-Dec-04
"Abby's Child Enrichment Center, Inc.",,,,5dfaa4f5e79c695b3b30dea8,Donna Taylor,710 Valley Square Drive,Taylor Mill,KY,41015,US,donnataylor.tm@gmail.com,859-581-6166,www.abbysnky.com,3/2/2016,3/2/2018,12/28/2017,12/28/2021,Kenton,151,6,13,M-F,6:30 - 6:00,Accredited Program,,accredited_program,4-Mar-16
St. Francis Children's Center,,,,5dfaa4f5e79c695b3b30dea9,Dori Buschke,6700 N. Port Washington Road,Glendale,WI,53217,US,dbuschke@sfcckids.org,414-351-0450,sfcckids.org,11/8/2019,11/8/2021,11/9/2017,11/9/2021,Milwaukee,105,7,22,M-F,7:30 - 5:30,Accredited Program,,accredited_program,18-Apr-13
Desert Skies Preschool,,,,5dfaa4f5e79c695b3b30deaa,Dorina Morrison,7730 N. Oracle Road,Tucson,AZ,85704,US,desertskies@dnjeducational.com,520-297-6121,www.dnjeducational.com,10/1/2018,10/1/2020,9/2/2016,9/2/2020,Pima,102,5,8,M-F,6:00 - 7:00,Accredited Program,,accredited_program,23-Dec-98
Heritage Preparatory School,,,,5dfaa4f5e79c695b3b30deab,Dr. Barbara Stewart,6000 West Colonial Drive,Orlando,FL,32808,US,drbrds22@aol.com,407-293-6000,heritageprep.com,2/2/2018,2/2/2020,12/4/2019,12/4/2023,Orange,49,2,4,M-F,6:30 - 6:00,Accredited Program,,accredited_program,5-Apr-06
South Highland Child Development Center,,,,5dfaa4f5e79c695b3b30deac,Dr. Suzanne Snow,2035 Highland Ave. S.,Birmingham,AL,35205,US,ssnow@shpcdc.org,205-939-1210,,8/16/2019,8/16/2021,8/18/2017,8/18/2021,Jefferson,235,11,35,M-F,7:00 - 6:00,Accredited Program,,accredited_program,15-Jun-04
RCMA Wimauma Early Education Child Development Ctr,,,,5dfaa4f6e79c695b3b30dead,Dulce Amador and Hilda Leija,5610 Desoto St.,Wimauma,FL,33598,US,hilda@rcma.org,813-671-5278,www.rcma.org,6/27/2019,6/27/2021,6/14/2017,6/14/2021,Hillsborough,183,13,40,M-F,7:00 - 5:30,Accredited Program,,accredited_program,13-Feb-07
Rogy's Learning Place Glen Oak,,,,5dfaa4f6e79c695b3b30deae,Elaine Martin,1221 N.E. Glen Oak Ave.,Peoria,IL,61603,US,glenoak@cadence-education.com,309-682-2551,www.rogys.com,5/11/2017,5/11/2019,2/4/2019,2/4/2023,Peoria,105,6,22,M-F,6:30 - 6:00,Accredited Program,,accredited_program,7-Jun-04
Susan Schwaid Early Learning Center,,,,5dfaa4f6e79c695b3b30deaf,Elaine Sharrock,151 S. McIntosh Road,Sarasota,FL,34232,US,preschool@sarasotatemple.org,941-377-8074,,5/10/2017,5/10/2019,1/10/2019,1/10/2023,Sarasota,75,4,8,M-F,7:30 - 5:30,Accredited Program,,accredited_program,8-Aug-07
KinderCare Learning Center #301601,,,,5dfaa4f6e79c695b3b30deb0,Elizabeth Faye O'Daniel,1735 Eagle Harbor Pkwy.,Orange Park,FL,32003,US,301601@kindercare.com,904-278-7710,www.kindercare.com/,1/30/2018,1/30/2020,1/27/2016,1/27/2020,Clay,187,9,11,M-F,6:00 - 6:30,Accredited Program,,accredited_program,10-Feb-05
KinderCare Learning Center #300531,,,,5dfaa4f6e79c695b3b30deb1,Elizabeth Paluga,2644 SR 590,Clearwater,FL,33759,US,300531@kindercare.com;300531@kc-education.com,727-797-9307,www.kindercare.com/,12/27/2017,12/27/2019,11/18/2019,11/18/2023,Pinellas,98,6,12,M-F,6:30 - 6:30,Accredited Program,,accredited_program,26-Oct-04
Hispanic Counseling Family Services Day Care Center,,,,5dfaa4f6e79c695b3b30deb2,Elizabeth Roque,3908 Westfield Ave.,Pennsauken Township,NJ,8110,US,hispanicadmin@comcast.net,856-964-3883,,12/17/2018,12/17/2020,12/27/2016,12/27/2020,Camden,60,4,15,M-F,7:00 - 5:30,Accredited Program,,accredited_program,1-Apr-14
KinderCare Learning Center #301183,,,,5dfaa4f6e79c695b3b30deb3,Elizabeth Singleton,511 West Campbell,Richardson,TX,75080,US,301183@kindercare.com,972-669-1130,www.kindercare.com/,9/14/2017,9/14/2019,10/23/2019,10/23/2023,Dallas,121,7,13,M-F,6:30 - 6:30,Accredited Program,,accredited_program,15-Jul-05
Tarleton State University,,,,5dfaa4f6e79c695b3b30deb4,Elizabeth Stephens,1333 W. Washington St.,Stephenville,TX,76401,US,estephens@tarleton.edu,254-968-1912,www.tarleton.edu/COEWEB/childdevcenter/index.html,10/11/2019,10/11/2021,11/29/2017,11/29/2021,Erath,59,3,8,M-F,7:30 - 5:30,Accredited Program,,accredited_program,22-Jun-15
KinderCare Learning Center #300774,,,,5dfaa4f6e79c695b3b30deb5,Elizabeth Walters,3225 Holiday Springs Blvd.,Margate,FL,33063,US,300774@kindercare.com,954-753-7833,www.kindercare.com/,12/30/2016,12/30/2018,11/26/2018,11/26/2022,Broward,115,7,16,M-F,6:30 - 6:30,Accredited Program,,accredited_program,2-Feb-05
"Park's Edge Preschool, Inc.",,,,5dfaa4f6e79c695b3b30deb6,Ellen Kvalheim,10627 W. Forest Home Ave.,Hales Corners,WI,53130,US,ellen@parksedgepreschool.com,414-427-9561,parksedgepreschool.com/,11/19/2018,11/19/2020,11/21/2016,11/21/2020,Milwaukee,110,8,18,M-F,6:00 - 6:00,Accredited Program,,accredited_program,16-Oct-08
KinderCare Learning Center #301720,,,,5dfaa4f6e79c695b3b30deb7,Ellie Contreras,15005 SW 122 Ave.,Miami,FL,33186,US,301720@klcorp.com;elcontreras@klcorp.com,305-378-9704,www.kindercare.com/,12/15/2017,12/15/2019,12/5/2019,12/5/2023,Miami-Dade,151,10,18,M-F,6:30 - 6:30,Accredited Program,,accredited_program,31-Dec-04
"The Innovative Learning Place, Inc.",,,,5dfaa4f6e79c695b3b30deb8,Eloise Denise Peterson,6436 San Juan Ave.,Jacksonville,FL,32210,US,innov@comcast.net,904 693-0603,,7/18/2017,7/18/2019,5/7/2019,5/7/2023,Duval,29,3,5,M-F,6:00 - 6:00,Accredited Program,,accredited_program,28-Jan-11
Middleton Baby and Child Care,,,,5dfaa4f6e79c695b3b30deb9,Emily Haley,5219 Century Ave.,Middleton,WI,53562,US,middletonbabyandchildcare@gmail.com,608-819-8370,www.middletonbaby.net,6/11/2018,6/11/2020,6/13/2016,6/13/2020,Dane,155,14,34,M-F,7:00 - 5:30,Accredited Program,,accredited_program,1-Mar-11
KinderCare Learning Center #301390,,,,5dfaa4f6e79c695b3b30deba,Emily Jodko,3035 Jog Road,Greenacres,FL,33467,US,301390@klcorp.com;ejodko@kindercare.com,561-641-7435,www.kindercare.com/,8/2/2018,8/2/2020,9/1/2016,9/1/2020,Palm Beach,137,7,15,M-F,6:30 - 6:30,Accredited Program,,accredited_program,31-Dec-04
Lil' Pirates Learning Center,,,,5dfaa4f6e79c695b3b30debb,Emma Montgomery,1003 N. Main,Gore,OK,74435,US,lovepink_86@yahoo.com,918-489-5331,,12/12/2016,12/12/2018,8/3/2018,8/3/2022,Sequoyah,69,4,6,M-F,6:30 - 5:45,Accredited Program,,accredited_program,
Wolverine Den of Kids Learning Center,,,,5dfaa4f6e79c695b3b30debc,Emma Montgomery and Kelsi Madsen,501 E. Schley,Vian,OK,74962,US,deas010182@yahoo.com,918-773-3034,,1/23/2017,1/23/2019,11/19/2018,11/19/2022,Sequoyah,80,6,13,M-F,5:45-6:00,Accredited Program,,accredited_program,23-Aug-13
The Learning Center,,,,5dfaa4f6e79c695b3b30debd,Emmy Khan,3700 S. Mason Road,Katy,TX,77450,US,emmykhan@tlclivingwordkaty.org,281-392-2273,tlcatlivingwordkaty.com,8/14/2018,8/14/2020,8/16/2016,8/16/2020,Ft. Bend,220,14,32,M-F,6:30 - 6:00,Accredited Program,,accredited_program,28-Jun-07
All Saints School,,,,5dfaa4f6e79c695b3b30debe,Emory Messeroff,338 E. Lyman Ave.,Winter Park,FL,32789,US,emory@allsaintswinterpark.org,407-644-1737,,9/1/2016,9/1/2018,4/25/2018,4/25/2022,Orange,134,11,29,M-F,9:00 - 2:00,Accredited Program,,accredited_program,25-Aug-10
KinderCare Learning Center #300340,,,,5dfaa4f6e79c695b3b30debf,Erica Cassidy,530 Seneca Lane,Bolingbrook,IL,60440,US,300340@kindercare.com,630-759-4081,www.kindercare.com/,11/20/2018,11/20/2020,11/21/2016,11/21/2020,Will,85,5,12,M-F,6:00 - 6:00,Accredited Program,,accredited_program,23-Jan-09
KinderCare Learning Center #300841,,,,5dfaa4f6e79c695b3b30dec0,Erica Davis-Suel,4351 Carter Creek Pkwy.,Bryan,TX,77802,US,300841@kindercare.com,979-846-1037,www.kindercare.com/,7/13/2017,7/13/2019,9/9/2019,9/9/2023,Brazos,85,6,17,M-F,6:30 - 6:00,Accredited Program,,accredited_program,31-Oct-03
KinderCare Learning Center #301046,,,,5dfaa4f6e79c695b3b30dec1,Erica Johnson,113 Forest Lakes Blvd.,Oldsmar,FL,34677,US,301046@klcorp.com,813-854-1817,www.kindercare.com/,3/21/2017,3/21/2019,6/3/2019,6/3/2023,Pinellas,121,6,10,M-F,6:30 - 6:30,Accredited Program,,accredited_program,14-Dec-04
KinderCare Learning Center #301393,,,,5dfaa4f6e79c695b3b30dec2,Erica Lampkins,5959 E. Broad St.,Columbus,OH,43213,US,301393@klcorp.com,614-759-6622,www.kindercare.com,6/23/2016,6/23/2018,2/9/2018,2/9/2022,Franklin,120,7,17,M-F,6:00 - 6:30,Accredited Program,,accredited_program,10-Feb-05
KinderCare Learning Center #301164,,,,5dfaa4f6e79c695b3b30dec3,Erika Salazar,11501 Toepperwein Road,San Antonio,TX,78233,US,301164@klcorp.com,210-653-8255,www.kindercare.com/,4/13/2017,4/13/2019,12/28/2018,12/28/2022,Bexar,136,8,15,M-F,6:30-6:30,Accredited Program,,accredited_program,10-May-06
Young Innovators Oviedo,,,,5dfaa4f6e79c695b3b30dec4,Erika Seger,1288 Sanctuary Drive,Oviedo,FL,32766,US,erikaseger@younginnovatorsccn.com,407-278-0210,www.younginnovatorsacademy.com/,10/13/2017,10/13/2019,8/13/2019,8/13/2023,Seminole,320,17,44,M-F,6:30 - 6:30,Accredited Program,,accredited_program,5-Sep-08
Bridges Preschool #4,,,,5dfaa4f6e79c695b3b30dec5,Erika Tuala,7570 S. Willow Drive,Tempe,AZ,85283,US,erica@bridgespreschool.com,480-345-5555,,8/2/2016,8/2/2018,6/26/2018,6/26/2022,Maricopa,162,5,12,M-F,6:30 - 6:00,Accredited Program,,accredited_program,
RCMA Bowling Green CDC,,,,5dfaa4f6e79c695b3b30dec6,Erika Wodrich and Beatrice M. Juarez,404 Bertha Fulse St.,Bowling Green,FL,33834,US,erika.wodrich@rcma.org;bowlinggrn@rcma.org;beatricej@rcma.org,863-375-4881,rcma.org/,8/3/2017,8/3/2019,5/23/2019,5/23/2023,Hardee,88,5,19,M-F,7:00 - 5:30,Accredited Program,,accredited_program,3-Dec-08
RCMA Wahneta Child Development Center,,,,5dfaa4f7e79c695b3b30dec7,Erika Wodrich and Bella Ricaurte,1920 Gerber Dairy Road,Winter Haven,FL,33880,US,olga.pena@rcma.org;bella@rcma.org,863-295-5954,rcma.org,6/8/2018,6/8/2020,7/15/2016,7/15/2020,Polk,89,7,16,M-F,6:00 - 5:00,Accredited Program,,accredited_program,27-Oct-06
RCMA Fred Dennis Child Development Center,,,,5dfaa4f7e79c695b3b30dec8,Erika Wodrich and Jennifer Pollock,320 N. 9th Ave.,Wauchula,FL,33873,US,jenniferp@rcma.org;erika.wodrich@rcma.org,863-767-0222,rcma.org,5/16/2018,5/16/2020,6/20/2016,6/20/2020,Hardee,113,9,23,M-F,7:00 - 5:30,Accredited Program,,accredited_program,11-Dec-08
Growing Green Child Development Center,,,,5dfaa4f7e79c695b3b30dec9,Erin Mendoza,6435 Green Bay Road,Kenosha,WI,53142,US,info@growinggreenchild.com,262-942-4769,growinggreenchild.com,8/17/2017,8/17/2019,7/10/2019,7/10/2023,Kenosha,152,7,28,M-F,6:30 - 7:00,Accredited Program,,accredited_program,15-Aug-12
Starbright Child Care Inc,,,,5dfaa4f7e79c695b3b30deca,Erin Roehl,10773 Minnie Ave.,Hayward,WI,54843,US,roehl@centurytel.net,715-634-9091,,10/11/2016,10/11/2018,5/21/2019,5/21/2023,Sawyer,74,6,15,M-F,6:30 - 5:30,Accredited Program,,accredited_program,11-Oct-16
Learning Edge Childcare & Preschool,,,,5dfaa4f7e79c695b3b30decb,Erin Thurmer,5245 South Emmer Drive,New Berlin,WI,53151,US,director.newberlin@learningedgechildcare.com,262-784-3400,newberlin@learningedgechildcare.com,4/5/2017,4/5/2019,8/21/2018,8/21/2022,Waukesha,152,9,25,M-F,6:00 - 6:00,Accredited Program,,accredited_program,9-Oct-06
Low Birth Weight Development Center,,,,5dfaa4f7e79c695b3b30decc,Esmeralda Hernandez,345 Calumet Ave.,Dallas,TX,75211,US,lowbirthdevelopment@gmail.com,214-331-3517,lowbirthweight.org/programsandservices/earlyheadstart.html,1/2/2017,1/2/2019,10/30/2019,10/30/2023,Dallas,53,2,4,M-Th,9:00-1:00,Accredited Program,,accredited_program,31-May-11
My First Steps Preschool,,,,5dfaa4f7e79c695b3b30decd,Esperanza Ramirez,2300 Parker Ave.,West Palm Beach,FL,33401,US,my1ststp@gmail.com,561-655-8275,,1/11/2019,1/11/2021,12/8/2016,12/8/2020,Palm Beach,53,3,6,M-F,7:00 - 5:30,Accredited Program,,accredited_program,16-Mar-09
Ehmke’s Childhaven Preschool,,,,5dfaa4f7e79c695b3b30dece,Eve Hoskins,841 E. McNeil St.,Show Low,AZ,85901,US,ehmkes.childhaven@yahoo.com,928-537-2365,,6/19/2019,6/19/2021,7/18/2017,7/18/2021,Navajo,90,4,9,M-F,6:30 am - 6:00 pm,Accredited Program,,accredited_program,1-Jan-96
Kid's World Preschool Inc.,,,,5dfaa4f7e79c695b3b30decf,Evelyn Monteagudo,1126 NE 16th Terrace,Cape Coral,FL,33909,US,evelyn@mykidsworldpreschool.com,239-573-7233,www.mykidsworldpreschool.com,10/9/2017,10/9/2019,9/25/2019,9/25/2023,Lee,168,7,18,M-F,6:30 - 6:00,Accredited Program,,accredited_program,25-Feb-10
RCMA Bethel Child Development Center,,,,5dfaa4f7e79c695b3b30ded0,Evelyn Soto and Mirella Rodriguez,18240A US Hwy. 301 South,Wimauma,FL,33598,US,evelyns@rcma.org;mirellaro@rcma.org,813-672-5165,www.rcma.org,3/20/2018,3/20/2020,3/7/2016,3/7/2020,Hillsborough,80,5,16,M-F,7:00 - 5:30,Accredited Program,,accredited_program,29-Nov-10
KinderCare Learning Center #300847,,,,5dfaa4f7e79c695b3b30ded1,Ezekiel Velasquez,8980 Guilbeau Road,San Antonio,TX,78250,US,300847@kindercare.com,210-680-4077,www.kindercare.com/,5/2/2018,5/2/2020,4/27/2016,4/27/2020,Bexar,100,6,17,M-F,6:00-6:30,Accredited Program,,accredited_program,16-May-06
Harlem Academy Day Care Center,,,,5dfaa4f7e79c695b3b30ded2,Felicia Brown,944 Harlem Academy Ave.,Clewiston,FL,33440,US,feliciab@ccswfl.org,863-983-7335,www.ccswfl.org/locations/child-care-center-clewiston/,5/22/2017,5/22/2019,1/28/2019,1/28/2023,Hendry,294,8,20,M-F,6:30 - 6:00,Accredited Program,,accredited_program,25-Sep-06
Mi Casita Day Care,,,,5dfaa4f7e79c695b3b30ded3,Flora Rivera,551 Spruce St.,Camden,NJ,8103,US,micasitasouth@verizon.net,856-541-4778,www.micasitacdc.com/,1/6/2017,1/6/2019,1/22/2019,1/22/2023,Camden,156,8,24,M-F,7:00 - 5:00,Accredited Program,,accredited_program,11-Aug-09
Presbyterian Weekday School Gastonia,,,,5dfaa4f7e79c695b3b30ded4,Fran C. Sitton,1621 E. Garrison Blvd.,Gastonia,NC,28054,US,pws@fpcgastonia.org,704-864-2651,fpcgastonia.org,5/14/2019,5/14/2021,5/15/2017,5/15/2021,Gaston,140,5,15,M-F,8:30 - 12:00,Accredited Program,,accredited_program,28-May-10
Write Start Learning Center,,,,5dfaa4f7e79c695b3b30ded5,Fran Neale and Keri Dunn,9270 Ridge Road,Seminole,FL,33772,US,info@writestartlearningcenter.com,727-392-3123,www.writestartlearningcenter.com,6/14/2016,6/14/2018,1/30/2018,1/30/2022,Pinellas,185,12,22,M-F,6:30 - 6:30,Accredited Program,,accredited_program,16-Feb-06
Eagles Crest Child Enrichment Center,,,,5dfaa4f7e79c695b3b30ded6,Francisco R. Garcia,400 West Elm Ave.,Flagstaff,AZ,86001,US,fgarcia@fusd1.org,928-527-6152,www.fusd1.org//Domain/69,1/12/2017,1/12/2019,11/26/2018,11/26/2022,Coconino,52,3,7,M-F,7:00-4:30,Accredited Program,,accredited_program,30-Oct-13
Little Ropers Child Enrichment Center,,,,5dfaa4f7e79c695b3b30ded7,Francisco R. Garcia,3950 E. Bulter Ave.,Flagstaff,AZ,86004,US,fgarcia@fusd1.org;rthomas@fusd1.org,928-527-6152,www.fusd1.org//Domain/69,1/12/2017,1/12/2019,11/29/2018,11/29/2022,Coconino,52,3,9,M-F,7:00 - 4:30,Accredited Program,,accredited_program,30-Oct-13
Acelero Learning Milwaukee - Capitol,,,,5dfaa4f7e79c695b3b30ded8,Fredricka Patrick-Turnage,7833 W. Capitol Drive,Milwaukee,WI,53222,US,fpatrick@acelero.net;bkilimann@acelero.net,414-616-5000,www.acelero.net,1/24/2017,1/24/2019,1/23/2015,2/29/2020,Milwaukee,153,10,27,M-F,7:00 - 5:30,Accredited Program,,accredited_program,4-Feb-14
KinderCare Learning Center #000274,,,,5dfaa4f7e79c695b3b30ded9,Genoveva Taylor,2550 W. Bay Area Blvd.,Friendswood,TX,77546,US,000274@kindercare.com,281-482-4589,www.kindercare.com,4/23/2018,4/23/2020,7/25/2019,7/25/2023,Harris,138,6,8,M-F,6:00 - 6:30,Accredited Program,,accredited_program,4-Jun-14
Little Munchkins Learning Center,,,,5dfaa4f7e79c695b3b30deda,George Aguillon Ovalle,2020 Denton Drive,Austin,TX,78758,US,george@littlemunchkin.com,512-454-1877,www.littlemunchkin.com,10/27/2016,10/27/2018,4/3/2019,4/3/2023,Travis,300,14,32,M-F,7:00 - 6:00,Accredited Program,,accredited_program,27-Oct-16
KinderCare Learning Center #071231,,,,5dfaa4f7e79c695b3b30dedb,Georgetta McDonald,9500 East Boston,Wichita,KS,67207,US,071231@kindercare.com,316-684-4574,www.kindercare.com/,10/5/2017,10/5/2019,11/6/2019,11/6/2023,Sedgwick,87,6,7,M-F,6:00 - 6:00,Accredited Program,,accredited_program,3-Jun-05
Primrose School at Ironbridge Corner,,,,5dfaa4f7e79c695b3b30dedc,Georgia Wiley and Shannon Dunlap,11351 Iron Creek Road,Chester,VA,23831,US,sdunlap@primroseironbridgecorner.com,804-751-0233,www.primroseironbridgecorner.com,9/20/2018,9/20/2020,9/27/2016,9/27/2020,Chesterfield,185,10,28,M-F,6:30 - 6:15,Accredited Program,,accredited_program,16-Sep-10
"Easter Seals Florida, Inc.",,,,5dfaa4f7e79c695b3b30dedd,Gertrude McCray,213 S. Congress Ave.,West Palm Beach,FL,33406,US,gmccray@fl.easterseals.com,561-471-1688,,10/29/2019,10/29/2021,11/6/2017,11/6/2021,Palm Beach,120,8,23,M-F,7:30 - 5:30,Accredited Program,,accredited_program,21-Jan-09
KinderCare Learning Center #070461,,,,5dfaa4f7e79c695b3b30dede,Gisela Husa,507 E. Illinois Hwy.,New Lenox,IL,60451,US,070461@kindercare.com,815-485-2908,www.kindercare.com/,10/7/2019,10/7/2021,10/11/2017,10/11/2021,Will,108,6,10,M-F,6:00 - 6:00,Accredited Program,,accredited_program,22-Jan-13
RCMA Arcadia Child Development Center,,,,5dfaa4f7e79c695b3b30dedf,Gracie Valadez and Tiare Hollman,817 Bond St.,Arcadia,FL,34266,US,graciela@rcma.org;tiare@rcma.org;arcadiacdc@rcma.org,863-993-4762,,9/23/2016,9/23/2018,4/27/2018,4/27/2022,Desoto,36,3,7,Monday - Friday,7:30 - 2:30,Accredited Program,,accredited_program,25-Aug-10
RCMA Redlands Child Development Center,,,,5dfaa4f8e79c695b3b30dee0,Graciela Perez,16085 S.W. 293 Drive,Homestead,FL,33033,US,gracielap@rcma.org,305-242-2584,,3/7/2016,3/7/2018,5/31/2018,5/31/2022,Miami-Dade,234,7,21,M-F,7:00 - 5:30,Accredited Program,,accredited_program,30-Oct-06
Horizon Learning Center,,,,5dfaa4f8e79c695b3b30dee1,Graciela Villegas,2211 South Bowen Road,Pantego,TX,76013,US,horizonlearningcenter2211@yahoo.com,817-460-1971,,3/28/2018,3/28/2020,9/5/2019,9/5/2023,Tarrant,66,5,6,M-F,6:30 - 6:30,Accredited Program,,accredited_program,29-Mar-18
Peanut Butter & Jelly Daycare,,,,5dfaa4f8e79c695b3b30dee2,Gwen Mesikep & Angelique Oliver,11223 NW 10th,Yukon,OK,73099,US,pbjdaycare1@cox.net,405-354-4604,,7/20/2016,7/20/2018,1/30/2019,1/30/2023,Canadian,110,7,13,M-F,7:00 - 6:00,Accredited Program,,accredited_program,10-Feb-09
"Good Street Learning Center, Inc.",,,,5dfaa4f8e79c695b3b30dee3,Gwendolyn Brown Sneed,3126 Elsie Fay Heggins,Dallas,TX,75215,US,goodstreetdaycare@sbcglobal.net,214-421-7504,goodstreetcc.org,9/28/2017,9/28/2019,7/18/2019,7/18/2023,Dallas,100,5,8,M-F,6:00 - 5:30,Accredited Program,,accredited_program,2-Mar-07
KinderCare Learning Center #301663,,,,5dfaa4f8e79c695b3b30dee4,Heather Bauer,13746 W. McDowell Road,Goodyear,AZ,85395,US,301663@klcorp.com;palmvalley@kindercare.com,623-535-1195,www.kindercare.com/,5/20/2016,5/20/2018,3/28/2018,3/28/2022,Maricopa,165,10,21,M-F,6:00 - 6:30,Accredited Program,,accredited_program,26-Apr-10
All About Learning - Waukesha,,,,5dfaa4f8e79c695b3b30dee5,Heather Dorenbos,1705 Paramount Drive,Waukesha,WI,53186,US,waukesha@aalchildcare.com,262-549-9199,aalchildcare.com/waukesha.html,8/15/2017,8/15/2019,4/10/2019,4/10/2023,Waukesha,85,7,16,M-F,6:15 - 6:15,Accredited Program,,accredited_program,29-Jan-07
KinderCare Learning Center #301087,,,,5dfaa4f8e79c695b3b30dee6,Heather Griffith,2410 E. Washington St.,Bloomington,IL,61704,US,301087@klcorp.com;hegriffith@kindercare.com,309-662-7033,,11/21/2018,11/21/2020,11/21/2017,11/21/2021,McLean,123,6,20,M-F,6:30 - 6:00,Accredited Program,,accredited_program,6-Dec-04
